# 14/08/24 UT Time, Reflection height [km], Lower bound of interaction region [km], Upper bound of interaction region [km]
2014-08-24T17:30:00, 249.383, 241.157, 246.442
2014-08-24T17:31:00, 249.688, 241.536, 246.841
2014-08-24T17:32:00, 248.72, 240.682, 245.897
2014-08-24T17:33:00, 252.997, 244.787, 250.325
2014-08-24T17:34:00, 249.426, 241.272, 246.502
2014-08-24T17:35:00, 248.195, 240.175, 245.302
2014-08-24T17:36:00, 248.693, 240.688, 245.833
2014-08-24T17:37:00, 251.237, 243.16, 248.49
2014-08-24T17:38:00, 249.953, 242.016, 247.233
2014-08-24T17:39:00, 252.196, 244.136, 249.503
2014-08-24T17:40:00, 252.339, 244.239, 249.606
2014-08-24T17:41:00, 252.183, 244.17, 249.508
2014-08-24T17:42:00, 252.662, 244.654, 250.011
2014-08-24T17:43:00, 251.622, 243.655, 248.918
2014-08-24T17:44:00, 249.395, 241.485, 246.564
2014-08-24T17:45:00, 249.984, 242.204, 247.316
2014-08-24T17:46:00, 250.789, 243.091, 248.262
2014-08-24T17:47:00, 251.675, 243.824, 249.033
2014-08-24T17:48:00, 250.568, 242.707, 247.809
2014-08-24T17:49:00, 251.521, 243.633, 248.798
2014-08-24T17:50:00, 252.673, 244.861, 250.102
2014-08-24T17:51:00, 253.13, 245.331, 250.591
2014-08-24T17:52:00, 253.578, 245.702, 250.983
2014-08-24T17:53:00, 250.666, 242.98, 248.03
2014-08-24T17:54:00, 252.925, 245.275, 250.482
2014-08-24T17:55:00, 251.868, 244.307, 249.43
2014-08-24T17:56:00, 253.723, 246.106, 251.35
2014-08-24T17:57:00, 253.14, 245.485, 250.662
2014-08-24T17:58:00, 252.783, 245.314, 250.468
2014-08-24T17:59:00, 253.77, 246.308, 251.521
2014-08-24T18:00:00, 251.749, 244.384, 249.432
2014-08-24T18:01:00, 254.663, 247.135, 252.388
2014-08-24T18:02:00, 255.525, 247.875, 253.169
2014-08-24T18:03:00, 254.894, 247.506, 252.752
2014-08-24T18:04:00, 254.695, 247.325, 252.546
2014-08-24T18:05:00, 253.707, 246.431, 251.566
2014-08-24T18:06:00, 254.71, 247.461, 252.657
2014-08-24T18:07:00, 252.633, 245.399, 250.43
2014-08-24T18:08:00, 254.119, 246.886, 252.011
2014-08-24T18:09:00, 254.375, 247.066, 252.187
2014-08-24T18:10:00, 257.255, 249.899, 255.243
2014-08-24T18:11:00, 255.424, 248.137, 253.316
2014-08-24T18:12:00, 254.46, 247.247, 252.339
2014-08-24T18:13:00, 257.712, 250.626, 255.985
2014-08-24T18:14:00, 257.482, 250.233, 255.54
2014-08-24T18:15:00, 258.499, 251.262, 256.638
2014-08-24T18:16:00, 257.387, 250.213, 255.492
2014-08-24T18:17:00, 256.585, 249.555, 254.762
2014-08-24T18:18:00, 256.851, 250.002, 255.228
2014-08-24T18:19:00, 257.441, 250.365, 255.611
2014-08-24T18:20:00, 255.698, 248.903, 254.016
2014-08-24T18:21:00, 257.466, 250.467, 255.689
2014-08-24T18:22:00, 257.48, 250.495, 255.712
2014-08-24T18:23:00, 254.69, 247.977, 252.984
2014-08-24T18:24:00, 255.78, 249.164, 254.246
2014-08-24T18:25:00, 256.725, 250.034, 255.179
2014-08-24T18:26:00, 257.584, 250.719, 255.903
2014-08-24T18:27:00, 256.395, 249.521, 254.595
2014-08-24T18:28:00, 257.216, 250.39, 255.527
2014-08-24T18:29:00, 258.963, 252.177, 257.446
2014-08-24T18:30:00, 257.92, 251.214, 256.388
2014-08-24T18:31:00, 257.568, 250.744, 255.871
2014-08-24T18:32:00, 260.329, 253.376, 258.709
2014-08-24T18:33:00, 259.685, 252.948, 258.229
2014-08-24T18:34:00, 257.715, 251.094, 256.216
2014-08-24T18:35:00, 258.327, 251.503, 256.644
2014-08-24T18:36:00, 258.629, 251.914, 257.073
2014-08-24T18:37:00, 261.001, 254.217, 259.564
2014-08-24T18:38:00, 259.099, 252.394, 257.572
2014-08-24T18:39:00, 258.505, 251.722, 256.832
2014-08-24T18:40:00, 259.429, 252.601, 257.775
2014-08-24T18:41:00, 258.731, 252.197, 257.324
2014-08-24T18:42:00, 259.596, 252.876, 258.044
2014-08-24T18:43:00, 259.743, 253.219, 258.408
2014-08-24T18:44:00, 259.673, 253.082, 258.246
2014-08-24T18:45:00, 258.558, 251.881, 256.936
2014-08-24T18:46:00, 259.633, 253.015, 258.153
2014-08-24T18:47:00, 258.5, 251.824, 256.855
2014-08-24T18:48:00, 259.621, 253.019, 258.131
2014-08-24T18:49:00, 260.707, 254.173, 259.373
2014-08-24T18:50:00, 260.058, 253.49, 258.621
2014-08-24T18:51:00, 260.692, 254.169, 259.341
2014-08-24T18:52:00, 260.387, 253.692, 258.819
2014-08-24T18:53:00, 260.833, 254.369, 259.538
2014-08-24T18:54:00, 260.576, 253.961, 259.082
2014-08-24T18:55:00, 260.724, 254.298, 259.44
2014-08-24T18:56:00, 261.379, 254.703, 259.867
2014-08-24T18:57:00, 260.707, 254.294, 259.411
2014-08-24T18:58:00, 259.995, 253.562, 258.613
2014-08-24T18:59:00, 260.917, 254.492, 259.606
2014-08-24T19:00:00, 260.407, 253.827, 258.874
2014-08-24T19:01:00, 260.623, 254.156, 259.224
2014-08-24T19:02:00, 264.333, 257.605, 262.951
2014-08-24T19:03:00, 260.612, 254.155, 259.198
2014-08-24T19:04:00, 260.632, 254.222, 259.263
2014-08-24T19:05:00, 261.729, 255.418, 260.543
2014-08-24T19:06:00, 261.91, 255.547, 260.671
2014-08-24T19:07:00, 260.761, 254.547, 259.584
2014-08-24T19:08:00, 261.445, 254.94, 259.996
2014-08-24T19:09:00, 261.93, 255.601, 260.698
2014-08-24T19:10:00, 262.025, 255.666, 260.762
2014-08-24T19:11:00, 261.459, 255, 260.03
2014-08-24T19:12:00, 262.412, 255.922, 261.014
2014-08-24T19:13:00, 261.583, 255.192, 260.219
2014-08-24T19:14:00, 261.744, 255.583, 260.629
2014-08-24T19:15:00, 263.951, 257.601, 262.803
2014-08-24T19:16:00, 262.745, 256.572, 261.68
2014-08-24T19:17:00, 263.62, 257.24, 262.392
2014-08-24T19:18:00, 263.523, 257.094, 262.222
2014-08-24T19:19:00, 264.463, 257.978, 263.174
2014-08-24T19:20:00, 264.545, 258.103, 263.298
2014-08-24T19:21:00, 265.666, 259.35, 264.641
2014-08-24T19:22:00, 265.339, 258.846, 264.086
2014-08-24T19:23:00, 265.448, 258.97, 264.209
2014-08-24T19:24:00, 265.532, 259.092, 264.331
2014-08-24T19:25:00, 265.32, 258.875, 264.087
2014-08-24T19:26:00, 266.326, 259.841, 265.128
2014-08-24T19:27:00, 265.972, 259.68, 264.94
2014-08-24T19:28:00, 266.915, 260.598, 265.934
2014-08-24T19:29:00, 267.13, 260.718, 266.053
2014-08-24T19:30:00, 267.569, 261.129, 266.49
2014-08-24T19:31:00, 267.598, 261.189, 266.55
2014-08-24T19:32:00, 267.642, 261.309, 266.669
2014-08-24T19:33:00, 267.667, 261.43, 266.787
2014-08-24T19:34:00, 268.244, 261.78, 267.165
2014-08-24T19:35:00, 268.722, 262.49, 267.928
2014-08-24T19:36:00, 268.644, 262.313, 267.723
2014-08-24T19:37:00, 269.644, 263.266, 268.765
2014-08-24T19:38:00, 269.549, 263.084, 268.551
2014-08-24T19:39:00, 269.756, 263.503, 268.996
2014-08-24T19:40:00, 270.405, 263.863, 269.39
2014-08-24T19:41:00, 270.494, 263.981, 269.505
2014-08-24T19:42:00, 271.693, 265.334, 270.986
2014-08-24T19:43:00, 270.715, 264.461, 270.014
2014-08-24T19:44:00, 273.649, 267.116, 272.946
2014-08-24T19:45:00, 271.515, 265, 270.585
2014-08-24T19:46:00, 271.547, 265.057, 270.642
2014-08-24T19:47:00, 271.372, 264.864, 270.417
2014-08-24T19:48:00, 271.995, 265.598, 271.212
2014-08-24T19:49:00, 272.134, 265.655, 271.27
2014-08-24T19:50:00, 271.567, 265.151, 270.701
2014-08-24T19:51:00, 271.616, 265.264, 270.812
2014-08-24T19:52:00, 271.639, 265.321, 270.87
2014-08-24T19:53:00, 270.666, 264.527, 269.983
2014-08-24T19:54:00, 270.744, 264.64, 270.096
2014-08-24T19:55:00, 271.398, 264.996, 270.482
2014-08-24T19:56:00, 270.661, 264.511, 269.936
2014-08-24T19:57:00, 271.553, 265.219, 270.705
2014-08-24T19:58:00, 271.332, 264.977, 270.43
2014-08-24T19:59:00, 273.416, 266.923, 272.568
2014-08-24T20:00:00, 271.662, 265.499, 270.98
2014-08-24T20:01:00, 271.546, 265.254, 270.707
2014-08-24T20:02:00, 272.339, 265.967, 271.479
2014-08-24T20:03:00, 271.949, 265.775, 271.256
2014-08-24T20:04:00, 272.649, 266.436, 271.978
2014-08-24T20:05:00, 272.665, 266.546, 272.088
2014-08-24T20:06:00, 272.373, 266.048, 271.53
2014-08-24T20:07:00, 272.42, 266.102, 271.583
2014-08-24T20:08:00, 272.658, 266.513, 272.024
2014-08-24T20:09:00, 274.561, 268.169, 273.844
2014-08-24T20:10:00, 273.327, 266.978, 272.523
