,,6275,"*",6325,"*"
252,3970,326,5,318,5
253,3975,870,5,853,5
254,3981,366,5,358,5
255,3982,656,4,641,4
256,3994,120,4,119,4
257,4031,110,4,108,4
258,4035,205,5,235,5
259,4084,219,5,216,5
260,4088,184,5,213,5
261,4127,203,5,242,5
262,4133,607,5,587,5
263,4295,281,4,274,4
264,4300,401,5,394,5
265,4301,723,4,726,4
266,4357,239,4,234,4
267,4359,104,4,102,4
268,4368,422,5,412,5
269,4371,248,5,282,5
270,4380,313,5,307,5
271,4386,542,5,523,5
272,4399,747,5,733,5
273,4468,302,5,294,5
274,4483,219,5,292,5
275,4517,80,4,92,4
276,4527,461,5,460,5
277,4534,344,4,336,4
278,4540,105,4,105,4
279,4554,268,4,261,4
280,4646,240,5,236,5
281,4660,119,4,116,4
282,4689,613,5,602,5
283,4733,290,5,284,5
284,4737,639,5,632,5
285,4738,260,5,253,5
286,4757,137,4,134,4
287,4785,569,5,549,5
288,4807,145,5,175,5
289,4825,218,4,214,4
290,4828,257,5,251,5
291,4902,363,5,453,5
292,4905,464,4,453,4
293,4910,145,4,195,4
294,4932,246,4,246,4
295,4949,162,5,228,5
296,4983,544,5,535,5
297,5015,401,5,484,5
298,5052,87,5,113,5
299,5054,292,4,287,4
300,5055,665,5,649,5
301,5056,890,4,866,4
302,5062,628,5,615,5
303,5064,241,5,263,5
304,5095,407,5,534,5
305,5105,254,5,246,5
306,5107,103,4,102,4
307,5150,298,5,338,5
308,5154,496,5,589,5
309,5181,208,5,258,5
310,5191,403,4,392,4
311,5291,802,5,784,5
312,5299,239,5,308,5
313,5300,279,5,339,5
314,5301,356,5,375,5
315,5340,434,3,427,3
316,5350,305,5,298,5
317,5351,491,5,480,5
318,5359,374,5,366,5
319,5404,693,5,681,5
320,5409,372,5,370,5
321,5435,152,4,150,4
322,5452,170,5,184,5
323,5477,723,5,708,5
324,5505,398,4,401,4
325,5511,720,5,706,5
326,5512,126,5,173,5
327,5544,436,5,432,5
328,5563,604,4,627,4
329,5584,130,5,159,5
330,5590,226,5,246,5
331,5594,176,5,201,5
332,5602,144,5,143,5
333,5654,118,5,145,5
334,5681,153,4,153,4
335,5685,212,4,207,4
336,5735,150,4,146,4
337,5739,276,5,325,5
338,5747,984,5,970,5
339,5793,326,4,317,4
340,5800,320,5,372,5
341,5842,358,5,349,5
342,5849,682,5,664,5
343,5867,787,5,772,5
344,5868,509,5,501,5
345,5879,842,5,973,5
346,5881,880,5,860,5
347,5889,466,5,467,5
348,5892,732,5,718,5
349,5903,488,5,480,5
350,5932,229,5,297,5
351,5933,774,5,765,5
352,5971,212,5,206,5
353,5972,285,5,278,5
354,5982,296,5,288,5
355,5986,764,5,757,5
356,6010,141,5,209,5
357,6023,474,5,461,5
358,6095,857,5,843,5
359,6117,362,5,355,5
360,6132,269,4,271,4
361,6148,266,4,268,4
362,6149,709,5,693,5
363,6168,520,5,508,5
364,6175,224,4,220,4
365,6200,361,5,457,5
366,6212,241,4,245,4
367,6220,156,4,155,4
368,6227,162,5,222,5
369,6242,124,5,173,5
370,6322,722,5,732,5
371,6324,656,5,640,5
372,6337,390,5,429,5
373,6378,258,4,252,4
374,6393,240,5,289,5
375,6410,140,4,138,4
376,6452,338,5,401,5
377,6484,544,5,535,5
