,,6275,"*",6325,"*"
183,"BS 2456",316,5,308,5
184,"BS 2458",111,5,131,5
185,"BS 2473",253,4,259,4
186,"BS 2484",140,4,138,4
187,"BS 2491",856,3,831,3
188,"BS 2506",384,5,586,5
189,"BS 2511",205,5,201,5
190,"BS 2540",902,5,885,5
191,"BS 2560",582,5,599,5
192,"BS 2631",146,5,170,5
193,"BS 2648",216,5,210,5
194,"BS 2657",494,5,481,5
195,"BS 2663",161,5,175,5
196,"BS 2678",169,5,166,5
197,"BS 2714",501,5,487,5
198,"BS 2725",145,5,168,5
199,"BS 2738",149,5,173,5
200,"BS 2747",135,5,174,5
201,"BS 2763",914,5,895,5
202,"BS 2777",110,4,108,4
203,"BS 2795",282,5,335,5
204,"BS 2845",166,4,162,4
205,"BS 2852",549,5,543,5
206,"BS 2864",521,5,533,5
207,"BS 2890/1",583,4,573,4
208,"BS 2905",84,4,97,4
209,"BS 2935",160,5,182,5
210,"BS 2938",324,5,364,5
211,"BS 2943",216,3,214,3
212,"BS 2985",131,4,130,4
213,"BS 2990",128,3,128,3
214,"BS 2999",261,5,307,5
215,"BS 3013",276,5,321,5
216,"BS 3015",264,5,260,5
217,"BS 3086",162,5,159,5
218,"BS 3169",116,5,149,5
219,"BS 3188",591,5,597,5
220,"BS 3268",934,6,912,6
221,"BS 3314",615,5,603,5
222,"BS 3319",171,5,224,5
223,"BS 3323",147,4,148,4
224,"BS 3357",237,5,269,5
225,"BS 3410",502,5,485,5
226,"BS 3449",294,5,286,5
227,"BS 3454",411,5,403,5
228,"BS 3481",103,5,101,5
229,"BS 3482",137,4,136,4
230,"BS 3492",409,5,400,5
231,"BS 3504",584,6,568,6
232,"BS 3521",84,5,105,5
233,"BS 3547",176,6,17,6
234,"BS 3561",199,5,194,5
235,"BS 3565",128,5,124,5
236,"BS 3594",886,5,866,5
237,"BS 3665",633,5,617,5
238,"BS 3683",149,5,146,5
239,"BS 3705",199,4,235,4
240,"BS 3759",425,5,420,5
241,"BS 3771",475,5,476,5
242,"BS 3787",371,5,363,5
243,"BS 3799",370,5,361,5
244,"BS 3849",185,5,182,5
